date,TRACKING,UPC,ITEM,QTY,单价,,fee
12/27,1ZR33V69YW10303270,,xbxone skyrim,3,,,
,,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,,,xbxone forza horizon,3,,,
,1ZR34331YW10126997,,xbxone skyrim,3,,,
,,,mario rabbis,3,,,
,1ZF6924YYW10150266,,xbxone forza horizon,3,,,
,,,xbxone skyrim,3,,,
,1zf8030xxyw10134452,,xbxone skyrim,3,,,
,1ZF7202X0310146245,,xbxone skyrim,3,,,
,,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,,,xbxone forza horizon,3,,,
,1ZEA5461YW02783194,amazon open,m705,1,,,
,,,lanceheard mouse,1,,,
,1Z1982F80301854604,amzon open,wiiu super mario maker,1,,,
,1ZEA54610388061284,amazon open,ps4 1 tb console,1,,,
,1ZR1A5240310481161,,ps4 skyrim,3,,,
,,,xbxone forza horizon,3,,,
,420197019205599799681989697256,,ps4 skyrim,3,,,
,,,xbxone forza horizon,3,,,
,,,mario rabbis,3,,,
,1ZA1479Y0300087964,amazon new,dell s2817q,2,,,
,1Z2929AE0322058435,amazon open,lenovo 110-151sk,1,,好了,
,,,,,,,
12/28,1ZF4Y324YW10137620,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,1ZF7891XYN10143067,,xbxone forza horizon,3,,,
,,,mario rabbis,3,,,
,1ZR1A5240310483570,,xbxone forza horizon,3,,,
,,,ps4 skyrim,3,,,
,1ZF64653YW10166984,,xbxone skyrim,3,,,
,,,xbxone forza horizon,3,,,
,1zr1238x0310153557,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,1ZR33V69YW10305072,,xbxone forza horizon,3,,,
,,,ps4 skyrim,3,,,
,1ZR33E36YW10145757,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,1ZR1A5240310483669,,xbxone forza horizon,3,,,
,,,ps4 skyrim,3,,,
,1ZV7855E0346265105,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,1zf687f0yw10159249,,xbxone forza horizon,3,,,
,,,ps4 skyrim,3,,,
,1ZR33V69YN10305089,,mario rabbis,3,,,
,,,xbxone forza horizon,3,,,
,1zr1238x0310153566,,xbxone skyrim,3,,,
,,,mario rabbis,3,,,
,1Z787Y880385607838,amazon open,m325,1,,,
,1Z1982F80301911668,amazon new,swith deluxe superhearo21,1,,,
,1ZEA54610388074903,amazon new,ps4 overwatch,1,,,
,,amazon open,hp 15 cc563st,1,,好了,
,1Z2929AE0322078280,amazon open,lenovo 110-15ac,1,,好了,
,,amazon open,lenovo 110-151sk,1,,好了,
,1Z2929AE0322076246,amazon open,lego 10232,1,,,
12/29,1ZF4V893YW10136281,,xbxone skyrim,3,,,
,,,ps4 skyrim,3,,,
,1ZV7855E0346309371,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,1ZR32311YW10142848,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,420197019205599799670789695951,,ps4 skyrim,3,,,
,,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,,,xbxone forza horizon,3,,,
,1ZF55283YW10168620,,xbxone forza horizon,3,,,
12/30,420197019205599799714589894005,,ps4 skyrim,1,,,
,420197019205599799664689843093,,xbxone forza horizon,3,,,
,420197019205599799714589893527,,ps4 skyrim,2,,,
,,,mario rabbis,3,,,
,420197019205599799675489843619,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,9611804423656600848022,amazon new,lg 29um59a,2,,,
,9622089590003077128800746988758888,,mario rabbis,1,,,
,,,,,,,
1/2,1ZW490242958646302,,mario rabbis,1,,,
,1zr04764yw10130132,,xbxone skyrim,3,,,
,,,mario rabbis,3,,,
,1ZR34935YN10122417,,ps4 skyrim,3,,,
,1ZF802F51310161639,,ps4 skyrim,3,,,
,1ZR343310310127565,,ps4 skyrim,3,,,
,,,xbxone skyrim,3,,,
,1ZR04764YN10130149,,xbxone skyrim,3,,,
,1ZR14731YN10175616,,ps4 skyrim,3,,,
,1ZW85R213560003190,amzon open,hp spectre x360 15-bl075nr,1,,,
,1Z2929AE0322106016,amazon open,chrombook s02 wm,1,,,
1/3,4201970192055901795905914380578573,,xbxone forza horizon,3,,,
,4201970192055901795905906763205602,,xbxone forza horizon,3,,,
,1ZR159930310292100,,philips hue white a19,14,,,
,1ZR159930310292119,,philips hue white a19,8,,,
,1ZF4V8930310137331,814855022694,razer keyboard,3,,,
,1ZR1A5240310484533,,philips hue white a19,12,,,
,1ZR159930310292093,,philips hue white a19,14,,,
,1ZR159930310292084,,philips hue white a19,14,,,
,1ZRE59390310117562,,philips hue white a19,10,,,
,1ZF8068Y0310151097,814855022694,razer keyboard,3,,,
,1ZR1A5240310484515,,philips hue white a19,12,,,
,1ZR1A5240310484597,,philips hue white a19,12,,,
,1ZF6Y0630310146770,814855022694,razer keyboard,3,,,
,1ZR1A5240310484499,,philips hue white a19,12,,,
,1ZF773X40310135773,814855022694,razer keyboard,3,,,
,1ZF6707X0310144696,,philips hue white a19,10,,,
,1ZF52Y880310131886,814855022694,razer keyboard,3,,,
,1ZF6707X0310144892,814855022694,razer keyboard,3,,,
,1ZR1A5240310484551,,philips hue white a19,12,,,
,1zf4w2860310129720,814855022694,razer keyboard,3,,,
,1ZR1A5240310484560,,philips hue white a19,12,,,
,1ZR3245X0310138571,814855022694,razer keyboard,3,,,
,1ZF4F3390310155633,814855022694,razer keyboard,3,,,
,1ZF57Y530310138323,814855022694,razer keyboard,3,,,
,1ZR276310310138467,879862005986,deathadder mouse,5,,,
,1ZRE59390310117553,,philips hue white a19,10,,,
,1ZR1A5240310484542,,philips hue white a19,2,,,
,1ZRV2478YW10128648,879862005986,deathadder mouse,5,,,
,1ZR1A5240310484604,,philips hue white a19,2,,,
,1Z727082YW51174760,,mac lip,4,,,
,1ZE4W1680395868550,,xboxone 2tb gear war,1,,,
,1ZR15Y350310174432,,philips hue white a19,20,,,
,1Z727082YW51185678,,mac lip,6,,,
,1ZR15R460310132648,879862005986,deathadder mouse,5,,,
,1ZR1A5240310484588,,philips hue white a19,12,,,
,1ZR1A5240310484506,,philips hue white a19,12,,,
,1ZR346F7YW10124693,879862005986,deathadder mouse,5,,,
,1ZF7Y9420310125055,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,1ZF36F53YW10166753,,mario rabbis,3,,,
,,,xbxone skyrim,3,,,
,1ZR137E3YW10144771,879862005986,deathadder mouse,2,,,
,1Z1982F80302503400,amazon new,ptd 600,2,,,
,1Z3Y09F10317209444,amazon new,lg 29um59a,2,,,
,9622080430004033216600789143202615,,xbxone skyrim,3,,,
,420197019200199799667438550065,879862005986,deathadder mouse,1,,,
,,,,,,,
1/4,1ZWF25470393144160,,philips hue white a19,1,,,
,1ZWF25470393146195,,philips hue white a19,1,,,
,1ZWF25470393145356,,philips hue white a19,1,,,
,1ZWF25470393144777,,philips hue white a19,1,,,
,1ZWF25470393145767,,philips hue white a19,1,,,
,1ZWF25470393147194,,philips hue white a19,1,,,
,1ZWF25470393147612,,philips hue white a19,1,,,
,1ZWF25470393146042,,philips hue white a19,1,,,
,1ZWF25470393147970,,philips hue white a19,1,,,
,1ZWF25470393147827,,philips hue white a19,1,,,
,1ZWF25470393145070,,philips hue white a19,1,,,
,1ZWF25470393146588,,philips hue white a19,1,,,
,1ZWF25470393147470,,philips hue white a19,1,,,
,1ZWF25470393145543,,philips hue white a19,1,,,
,1ZWF25470393147390,,philips hue white a19,1,,,
,1ZWF25470393146793,,philips hue white a19,1,,,
,1ZWF25470393147112,,philips hue white a19,1,,,
,1ZWF25470393146284,,philips hue white a19,1,,,
,1ZWF25470393146533,,philips hue white a19,1,,,
,1ZWF25470393145418,,philips hue white a19,1,,,
,1ZWF25470393146024,,philips hue white a19,1,,,
,1ZWF25470393144759,,philips hue white a19,1,,,
,1ZWF25470393147881,,philips hue white a19,1,,,
,,,,23,,,
,1ZR3497R0310108324,879862005986,deathadder mouse,7,,,
,1ZWF25470393147667,,philips hue white a19,1,,,
,1ZWF25470393147783,,philips hue white a19,1,,,
,1ZWF25470393145598,,philips hue white a19,1,,,
,1ZWF25470393145409,,philips hue white a19,1,,,
,1ZWF25470393145427,,philips hue white a19,1,,,
,1ZWF25470393145481,,philips hue white a19,1,,,
,1ZWF25470393148531,,philips hue white a19,1,,,
,1ZWF25470393145285,,philips hue white a19,1,,,
,1ZWF25470393147818,,philips hue white a19,1,,,
,1ZRY19160210125164,879862005986,deathadder mouse,8,,,
,1ZWF25470393148077,,philips hue white a19,1,,,
,1ZWF25470393145678,,philips hue white a19,1,,,
,1ZWF25470393143867,,philips hue white a19,1,,,
,1ZWF25470393148666,,philips hue white a19,1,,,
,1ZWF25470393147167,,philips hue white a19,1,,,
,1ZWF25470393146800,,philips hue white a19,1,,,
,1ZWF25470393145687,,philips hue white a19,1,,,
,1ZWF25470393147989,,philips hue white a19,1,,,
,1ZWF25470393145552,,philips hue white a19,1,,,
,1ZWF25470393145918,,philips hue white a19,1,,,
,1ZWF25470393145730,,philips hue white a19,1,,,
,1ZWF25470393148317,,philips hue white a19,1,,,
,1ZR153980310168194,,philips hue white a19,10,,,
,1ZWF25470393149101,,philips hue white a19,1,,,
,1ZWF25470393145650,,philips hue white a19,1,,,
,1ZWF25470393148693,,philips hue white a19,1,,,
,1ZWF25470393146962,,philips hue white a19,1,,,
,1ZWF25470393149147,,philips hue white a19,1,,,
,1ZWF25470393146382,,philips hue white a19,1,,,
,1ZWF25470393144697,,philips hue white a19,1,,,
,1ZWF25470393147694,,philips hue white a19,1,,,
,1ZWF25470393147256,,philips hue white a19,1,,,
,1ZWF25470393147292,,philips hue white a19,1,,,
,1ZWF25470393146695,,philips hue white a19,1,,,
,1ZWF25470393144642,,philips hue white a19,1,,,
,1ZWF25470393146864,,philips hue white a19,1,,,
,1ZWF25470393143714,,philips hue white a19,1,,,
,1ZWF25470393145954,,philips hue white a19,1,,,
,1ZWF25470393148193,,philips hue white a19,1,,,
,1ZWF25470393147210,,philips hue white a19,1,,,
,1ZWF25470393146293,,philips hue white a19,1,,,
,1ZWF25470393147489,,philips hue white a19,1,,,
,1ZWF25470393147345,,philips hue white a19,1,,,
,1ZWF25470393145972,,philips hue white a19,1,,,
,1ZWF25470393145623,,philips hue white a19,1,,,
,1ZWF25470393145758,,philips hue white a19,1,,,
,1ZRF43830310116669,879862005986,deathadder mouse,7,,,
,1ZWF25470393148308,,philips hue white a19,1,,,
,1ZWF25470393146186,,philips hue white a19,1,,,
,1ZWF25470393145276,,philips hue white a19,1,,,
,1ZWF25470393145016,,philips hue white a19,1,,,
,1ZWF25470393146935,,philips hue white a19,1,,,
,1ZWF25470393144679,,philips hue white a19,1,,,
,1ZWF25470393145534,,philips hue white a19,1,,,
,1ZWF25470393146837,,philips hue white a19,1,,,
,1ZWF25470393144857,,philips hue white a19,1,,,
,1ZWF25470393148988,,philips hue white a19,1,,,
,1ZWF25470393147229,,philips hue white a19,1,,,
,1ZF74Y580310228789,,xboxone forza horrizon,3,,,
,,,ps4 skyrim,3,,,
,1ZWF25470393146944,,philips hue white a19,1,,,
,1ZWF25470393145785,,philips hue white a19,1,,,
,1ZWF25470393147023,,philips hue white a19,1,,,
,1ZWF25470393147685,,philips hue white a19,1,,,
,1ZF4270Y0310154309,879862005986,deathadder mouse,7,,,
,1ZWF25470393147265,,philips hue white a19,1,,,
,1ZWF25470393145936,,philips hue white a19,1,,,
,1ZWF25470393146560,,philips hue white a19,1,,,
,1ZWF25470393149094,,philips hue white a19,1,,,
,1ZWF25470393148979,,philips hue white a19,1,,,
,1ZWF25470393145909,,philips hue white a19,1,,,
,1ZWF25470393146828,,philips hue white a19,1,,,
,1ZWF25470393145516,,philips hue white a19,1,,,
,1ZR153980310168201,,philips hue white a19,10,,,
,1ZF69V430310171996,,philips hue white a19,14,,,
,1ZWF25470393146168,,philips hue white a19,1,,,
,1ZWF25470393145696,,philips hue white a19,1,,,
,1ZWF25470393148237,,philips hue white a19,1,,,
,1ZWF25470393147907,,philips hue white a19,1,,,
,1ZWF25470393145472,,philips hue white a19,1,,,
,1ZWF25470393145605,,philips hue white a19,1,,,
,1ZWF25470393146882,,philips hue white a19,1,,,
,1ZWF25470393147701,,philips hue white a19,1,,,
,1ZWF25470393147416,,philips hue white a19,1,,,
,1ZWF25470393145454,,philips hue white a19,1,,,
,1ZWF25470393147845,,philips hue white a19,1,,,
,1ZWF25470393146953,,philips hue white a19,1,,,
,1ZWF25470393146435,,philips hue white a19,1,,,
,1ZWF25470393143956,,philips hue white a19,1,,,
,1ZWF25470393147149,,philips hue white a19,1,,,
,1ZWF25470393147032,,philips hue white a19,1,,,
,1ZWF25470393146891,,philips hue white a19,1,,,
,1ZWF25470393148175,,philips hue white a19,1,,,
,1ZWF25470393144848,,philips hue white a19,1,,,
,1ZR2A1730210096574,879862005986,deathadder mouse,8,,,
,1ZR153980310168603,814855022694,razer keyboard,3,,,
,1ZWF25470393144704,,philips hue white a19,1,,,
,1ZWF25470393147550,,philips hue white a19,1,,,
,1ZWF25470393144875,,philips hue white a19,1,,,
,1ZWF25470393144428,,philips hue white a19,1,,,
,1ZWF25470393146597,,philips hue white a19,1,,,
,1ZWF25470393147087,,philips hue white a19,1,,,
,1ZWF25470393146980,,philips hue white a19,1,,,
,1ZWF25470393145294,,philips hue white a19,1,,,
,1ZWF25470393144893,,philips hue white a19,1,,,
,1ZWF25470393144973,,philips hue white a19,1,,,
,1ZWF25470393145114,,philips hue white a19,1,,,
,1ZWF25470393149058,,philips hue white a19,1,,,
,1ZWF25470393147541,,philips hue white a19,1,,,
,1ZWF25470393145212,,philips hue white a19,1,,,
,1ZWF25470393145589,,philips hue white a19,1,,,
,1ZWF25470393143876,,philips hue white a19,1,,,
,1ZWF25470393145089,,philips hue white a19,1,,,
,1ZWF25470393147747,,philips hue white a19,1,,,
,1ZWF25470393145632,,philips hue white a19,1,,,
,1ZWF25470393148951,,philips hue white a19,1,,,
,1ZWF25470393147274,,philips hue white a19,1,,,
,1ZWF25470393149030,,philips hue white a19,1,,,
,1ZWF25470393149209,,philips hue white a19,1,,,
,1ZWF25470393145052,,philips hue white a19,1,,,
,1ZWF25470393148059,,philips hue white a19,1,,,
,1ZWF25470393146766,,philips hue white a19,1,,,
,1ZWF25470393147603,,philips hue white a19,1,,,
,1ZF801870310112976,879862005986,deathadder mouse,8,,,
,1ZWF25470393146257,,philips hue white a19,1,,,
,1ZWF25470393147434,,philips hue white a19,1,,,
,1ZWF25470393146846,,philips hue white a19,1,,,
,1ZWF25470393147318,,philips hue white a19,1,,,
,1ZWF25470393147443,,philips hue white a19,1,,,
,1ZWF25470393147336,,philips hue white a19,1,,,
,1ZWF25470393144820,,philips hue white a19,1,,,
,1ZWF25470393148031,,philips hue white a19,1,,,
,1ZWF25470393148577,,philips hue white a19,1,,,
,1ZWF25470393146631,,philips hue white a19,1,,,
,1ZWF25470393146775,,philips hue white a19,1,,,
,1ZWF25470393146819,,philips hue white a19,1,,,
,1ZWF25470393147247,,philips hue white a19,1,,,
,1ZWF25470393146720,,philips hue white a19,1,,,
,1ZWF25470393147005,,philips hue white a19,1,,,
,1ZWF25470393147836,,philips hue white a19,1,,,
,1ZWF25470393144197,,philips hue white a19,1,,,
,1ZWF25470393148399,,philips hue white a19,1,,,
,1ZWF25470393145776,,philips hue white a19,1,,,
